CHAIN_ID, CLIENT (STATUS), CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
agoricdev-25, 07-tendermint-1 (Expired), connection-1, channel-1, transfer, agoriclocal, 07-tendermint-1, connection-1, channel-1, transfer
agoricdev-25, 07-tendermint-2 (Expired), connection-2, channel-2, transfer, agoriclocal, 07-tendermint-2, connection-2, channel-2, transfer
agoricdev-25, 07-tendermint-3 (Expired), connection-3, channel-3, transfer, agoriclocal, 07-tendermint-3, connection-3, channel-3, transfer
agoricdev-25, 07-tendermint-4 (Expired), connection-4, channel-4, transfer, usman, 07-tendermint-19, connection-8, channel-7, transfer
agoricdev-25, 07-tendermint-6 (Expired), connection-6, channel-5, transfer, osmo-test-5, 07-tendermint-4596, connection-3957, channel-10293, transfer
agoricdev-25, 07-tendermint-7 (Expired), connection-7, channel-6, transfer, axelar-testnet-lisbon-3, 07-tendermint-1107, connection-863, channel-599, transfer
agoricdev-25, 07-tendermint-9 (Active), connection-9, channel-7, transfer, pion-1, 07-tendermint-602, connection-558, channel-1748, transfer
agoricdev-25, 07-tendermint-10 (Expired), connection-10, channel-8, transfer, usman, 07-tendermint-27, connection-14, channel-10, transfer
agoricdev-25, 07-tendermint-11 (Expired), connection-11, channel-9, transfer, agoric-emerynet-9, 07-tendermint-2, connection-2, channel-2, transfer
agoricdev-25, 07-tendermint-12 (Expired), connection-12, channel-10, transfer, agoric-mainfork-1, 07-tendermint-118, connection-109, channel-161, transfer
agoricdev-25, 07-tendermint-13 (Active), connection-13, channel-11, transfer, grand-1, 07-tendermint-432, connection-396, channel-337, transfer
agoricdev-25, 07-tendermint-14 (Active), connection-14, channel-12, transfer, axelar-testnet-lisbon-3, 07-tendermint-1128, connection-872, channel-602, transfer
agoricdev-25, 07-tendermint-15 (Active), connection-15, channel-13, transfer, stride-internal-1, 07-tendermint-68, connection-44, channel-60, transfer
